long,lat,suitability,species
48.75,-11.25,0.3400000035762787,silky shark
49.25,-11.25,0.6700000166893005,silky shark
49.75,-11.25,0.8399999737739563,silky shark
50.25,-11.25,0.8100000023841858,silky shark
50.75,-11.25,0.800000011920929,silky shark
51.25,-11.25,0.38999998569488525,silky shark
40.25,-11.75,1,silky shark
40.75,-11.75,1,silky shark
41.25,-11.75,0.8100000023841858,silky shark
41.75,-11.75,0.6200000047683716,silky shark
42.25,-11.75,0.5199999809265137,silky shark
42.75,-11.75,0.5600000023841858,silky shark
43.25,-11.75,1,silky shark
43.75,-11.75,1,silky shark
44.25,-11.75,0.6800000071525574,silky shark
44.75,-11.75,0.75,silky shark
45.25,-11.75,0.20000000298023224,silky shark
45.75,-11.75,0.17000000178813934,silky shark
46.25,-11.75,0.20000000298023224,silky shark
46.75,-11.75,0.17000000178813934,silky shark
47.25,-11.75,1,silky shark
47.75,-11.75,0.7599999904632568,silky shark
48.25,-11.75,0.6100000143051147,silky shark
48.75,-11.75,0.8399999737739563,silky shark
49.25,-11.75,1,silky shark
49.75,-11.75,0.9700000286102296,silky shark
50.25,-11.75,0.6000000238418579,silky shark
50.75,-11.75,0.119999997317791,silky shark
51.25,-11.75,0.2300000041723251,silky shark
40.25,-12.25,1,silky shark
40.75,-12.25,1,silky shark
41.25,-12.25,0.8100000023841858,silky shark
41.75,-12.25,0.75,silky shark
42.25,-12.25,0.3799999952316284,silky shark
42.75,-12.25,0.3700000047683716,silky shark
43.25,-12.25,0.5699999928474426,silky shark
43.75,-12.25,1,silky shark
44.25,-12.25,1,silky shark
44.75,-12.25,1,silky shark
45.25,-12.25,1,silky shark
45.75,-12.25,0.6000000238418579,silky shark
46.25,-12.25,1,silky shark
46.75,-12.25,1,silky shark
47.25,-12.25,0.20999999344348907,silky shark
47.75,-12.25,1,silky shark
48.25,-12.25,1,silky shark
48.75,-12.25,1,silky shark
49.25,-12.25,1,silky shark
49.75,-12.25,1,silky shark
50.25,-12.25,0.5299999713897705,silky shark
50.75,-12.25,0.20000000298023224,silky shark
51.25,-12.25,0.03999999910593033,silky shark
40.25,-12.75,1,silky shark
40.75,-12.75,1,silky shark
41.25,-12.75,0.5600000023841858,silky shark
41.75,-12.75,0.5,silky shark
42.25,-12.75,0.3499999940395355,silky shark
42.75,-12.75,0.20000000298023224,silky shark
43.25,-12.75,0.4399999976158142,silky shark
43.75,-12.75,0.7300000190734863,silky shark
44.25,-12.75,0.47999998927116394,silky shark
44.75,-12.75,1,silky shark
45.25,-12.75,1,silky shark
45.75,-12.75,0.5400000214576721,silky shark
46.25,-12.75,0.550000011920929,silky shark
46.75,-12.75,0.4900000095367432,silky shark
47.25,-12.75,0.3499999940395355,silky shark
47.75,-12.75,1,silky shark
48.25,-12.75,1,silky shark
48.75,-12.75,1,silky shark
49.75,-12.75,1,silky shark
50.25,-12.75,1,silky shark
50.75,-12.75,0.20999999344348907,silky shark
51.25,-12.75,0.05000000074505806,silky shark
40.75,-13.25,1,silky shark
41.25,-13.25,0.7400000095367432,silky shark
41.75,-13.25,0.5099999904632568,silky shark
42.25,-13.25,0.28999999165534973,silky shark
42.75,-13.25,0.2199999988079071,silky shark
43.25,-13.25,0.17000000178813934,silky shark
43.75,-13.25,0.15000000596046448,silky shark
44.25,-13.25,0.15000000596046448,silky shark
44.75,-13.25,0.8700000047683716,silky shark
45.25,-13.25,1,silky shark
45.75,-13.25,0.3499999940395355,silky shark
46.25,-13.25,0.1899999976158142,silky shark
46.75,-13.25,0.27000001072883606,silky shark
47.25,-13.25,0.38999998569488525,silky shark
47.75,-13.25,1,silky shark
48.25,-13.25,1,silky shark
48.75,-13.25,1,silky shark
49.75,-13.25,1,silky shark
50.25,-13.25,1,silky shark
50.75,-13.25,0.3700000047683716,silky shark
51.25,-13.25,0.07000000029802322,silky shark
52.75,-13.25,0.02999999932944774,silky shark
53.25,-13.25,0.28999999165534973,silky shark
53.75,-13.25,0.01999999955296516,silky shark
40.75,-13.75,1,silky shark
41.25,-13.75,0.7300000190734863,silky shark
41.75,-13.75,0.6299999952316284,silky shark
42.25,-13.75,0.4000000059604645,silky shark
42.75,-13.75,0.25,silky shark
43.25,-13.75,0.17000000178813934,silky shark
43.75,-13.75,0.1599999964237213,silky shark
44.25,-13.75,0.15000000596046448,silky shark
44.75,-13.75,0.1599999964237213,silky shark
45.25,-13.75,0.1599999964237213,silky shark
45.75,-13.75,0.18000000715255737,silky shark
46.25,-13.75,0.27000001072883606,silky shark
46.75,-13.75,0.44999998807907104,silky shark
47.25,-13.75,0.6299999952316284,silky shark
47.75,-13.75,1,silky shark
48.25,-13.75,1,silky shark
50.25,-13.75,1,silky shark
50.75,-13.75,0.5,silky shark
51.25,-13.75,0.1599999964237213,silky shark
53.25,-13.75,0.05999999865889549,silky shark
53.75,-13.75,0.4300000071525574,silky shark
40.75,-14.25,1,silky shark
41.25,-14.25,0.8500000238418579,silky shark
41.75,-14.25,0.8999999761581421,silky shark
42.25,-14.25,0.4300000071525574,silky shark
42.75,-14.25,0.25999999046325684,silky shark
43.25,-14.25,0.1899999976158142,silky shark
43.75,-14.25,0.17000000178813934,silky shark
44.25,-14.25,0.15000000596046448,silky shark
44.75,-14.25,0.15000000596046448,silky shark
45.25,-14.25,0.20000000298023224,silky shark
45.75,-14.25,0.3199999928474426,silky shark
46.25,-14.25,0.38999998569488525,silky shark
46.75,-14.25,0.7200000286102295,silky shark
47.25,-14.25,1,silky shark
47.75,-14.25,1,silky shark
48.25,-14.25,1,silky shark
50.25,-14.25,1,silky shark
50.75,-14.25,0.699999988079071,silky shark
51.25,-14.25,0.18000000715255737,silky shark
51.75,-14.25,0.00999999977648258,silky shark
53.75,-14.25,0.01999999955296516,silky shark
40.75,-14.75,1,silky shark
41.25,-14.75,0.9399999976158142,silky shark
41.75,-14.75,0.5600000023841858,silky shark
42.25,-14.75,0.36000001430511475,silky shark
42.75,-14.75,0.25999999046325684,silky shark
43.25,-14.75,0.20999999344348907,silky shark
43.75,-14.75,0.3400000035762787,silky shark
44.25,-14.75,0.3799999952316284,silky shark
44.75,-14.75,0.17000000178813934,silky shark
45.25,-14.75,0.33000001311302185,silky shark
45.75,-14.75,0.5099999904632568,silky shark
46.25,-14.75,0.6200000047683716,silky shark
46.75,-14.75,1,silky shark
47.25,-14.75,1,silky shark
47.75,-14.75,1,silky shark
50.25,-14.75,1,silky shark
50.75,-14.75,1,silky shark
51.25,-14.75,0.25,silky shark
51.75,-14.75,0.09000000357627869,silky shark
40.75,-15.25,1,silky shark
41.25,-15.25,0.7900000214576721,silky shark
41.75,-15.25,0.5699999928474426,silky shark
42.25,-15.25,0.3400000035762787,silky shark
42.75,-15.25,0.6200000047683716,silky shark
43.25,-15.25,0.20999999344348907,silky shark
43.75,-15.25,0.30000001192092896,silky shark
44.25,-15.25,0.47999998927116394,silky shark
44.75,-15.25,0.6100000143051147,silky shark
45.25,-15.25,0.5899999737739563,silky shark
45.75,-15.25,0.9700000286102296,silky shark
46.25,-15.25,1,silky shark
46.75,-15.25,1,silky shark
47.25,-15.25,1,silky shark
47.75,-15.25,1,silky shark
49.75,-15.25,1,silky shark
50.25,-15.25,1,silky shark
50.75,-15.25,1,silky shark
51.25,-15.25,0.20999999344348907,silky shark
51.75,-15.25,0.07000000029802322,silky shark
40.25,-15.75,1,silky shark
40.75,-15.75,1,silky shark
41.25,-15.75,0.6899999976158142,silky shark
41.75,-15.75,0.6499999761581421,silky shark
42.25,-15.75,0.4099999964237213,silky shark
42.75,-15.75,0.47999998927116394,silky shark
43.25,-15.75,0.4699999988079071,silky shark
43.75,-15.75,0.8100000023841858,silky shark
44.25,-15.75,0.9399999976158142,silky shark
44.75,-15.75,0.9700000286102296,silky shark
45.25,-15.75,0.8899999856948853,silky shark
45.75,-15.75,0.7400000095367432,silky shark
46.25,-15.75,0.8600000143051147,silky shark
46.75,-15.75,1,silky shark
47.25,-15.75,1,silky shark
49.75,-15.75,1,silky shark
50.25,-15.75,1,silky shark
50.75,-15.75,1,silky shark
51.25,-15.75,0.15000000596046448,silky shark
39.75,-16.25,1,silky shark
40.25,-16.25,1,silky shark
